,longitude,latitude,depth,county,prefmag,geo_region,well_distance,rup_area,radius,wells_qty
25863,-98.6285,36.53933333,4.47,Woods,0.3,9,2.439353042,0,0.05,0
25864,-98.6295,36.54,5.5,Woods,0.5,9,2.362112606,0,0.07,0
25865,-98.99283333,36.52016667,7.42,Woodward,1.2,7,1.747516246,0,0.17,0
25866,-96.74733333,35.53883333,7.77,Lincoln,1.8,9,2.052939197,0.01,0.35,0
25867,-97.464,36.0905,6.41,Logan,2.1,7,1.324512985,0.03,0.45,0
25868,-97.46283333,36.09233333,5.76,Logan,1.9,7,1.12087669,0.02,0.34,0
25869,-97.69366667,36.689,7.33,Grant,3.3,9,6.822761769,0.33,1.92,0
25870,-97.69166667,36.68933333,5.84,Grant,2,9,6.9890504,0.02,0.38,0
25871,-97.7175,36.08916667,6.52,Kingfisher,1.8,7,3.13704296,0.01,0.32,0
25872,-97.754,35.55516667,7.5,Canadian,1.8,9,4.888498178,0.01,0.34,0
25873,-97.1115,36.35866667,6.63,Noble,1.1,7,3.910230198,0,0.14,0
25874,-96.938,36.40716667,4.31,Pawnee,1.5,3,2.801898062,0.01,0.19,0
25875,-97.68783333,36.68783333,5,Grant,2.2,9,7.177578841,0.03,0.45,0
25876,-97.72583333,36.08783333,7.7,Kingfisher,2.2,7,3.523333346,0.03,0.55,0
25877,-97.70783333,36.7115,7.18,Grant,2,9,6.247457934,0.02,0.42,0
25878,-98.73816667,36.475,8.32,Major,0.9,9,3.251420263,0,0.13,0
25879,-97.54883333,34.77383333,5.06,Garvin,1.5,7,0.663970923,0.01,0.2,0
25880,-97.71916667,36.0905,6.45,Kingfisher,2.1,7,3.032469379,0.03,0.45,0
25881,-98.32633333,36.63016667,6.73,Alfalfa,2.1,9,0.7782258,0.03,0.46,2
25882,-97.66616667,36.09483333,6.4,Logan,2.3,9,1.160250251,0.04,0.57,0
25883,-97.69066667,35.56216667,4.12,Oklahoma,1.4,9,5.209048531,0.01,0.16,0
25884,-97.24233333,35.96266667,7.81,Logan,1.8,9,4.236318559,0.01,0.35,0
25885,-96.95733333,36.33733333,3.9,Pawnee,1.3,9,2.471277552,0,0.14,0
25886,-97.38633333,36.8955,7.82,Kay,2.5,7,1.96560223,0.06,0.79,0
25887,-97.723,36.08666667,5.86,Kingfisher,2.1,7,3.546411268,0.03,0.43,0
25888,-97.73283333,36.08033333,5.87,Kingfisher,1.5,7,3.534517841,0.01,0.22,0
25889,-97.70816667,36.10466667,6.06,Logan,1.7,7,1.332456499,0.01,0.28,0
25890,-97.7295,36.084,5.8,Kingfisher,1.9,7,4.03707284,0.02,0.34,0
25891,-97.72733333,36.082,6.29,Kingfisher,1.7,7,4.01794835,0.01,0.28,0
25892,-97.724,36.08916667,6.59,Kingfisher,2.1,7,3.320751423,0.03,0.46,0
25893,-98.253,36.1405,4.83,Blaine,1.7,7,1.685649661,0.01,0.25,0
25894,-96.76883333,35.52916667,7.54,Lincoln,1.7,3,3.442287077,0.01,0.31,0
25895,-97.2175,36.50416667,5.65,Kay,1.8,7,1.506509813,0.01,0.3,0
25896,-98.32616667,36.6335,6.23,Alfalfa,2.6,9,1.137368606,0.08,0.79,0
25897,-98.97583333,36.52783333,7.49,Woodward,0.4,7,2.502508333,0,0.07,0
25898,-97.71033333,36.81633333,7,Grant,2,7,4.343503759,0.02,0.42,0
25899,-96.94016667,36.41383333,5.33,Pawnee,0.3,3,2.04429797,0,0.05,0
25900,-97.47416667,36.18816667,6.29,Noble,1.4,7,1.70831866,0.01,0.2,0
25901,-97.28016667,36.262,7.8,Noble,1.5,7,2.931072316,0.01,0.25,0
25902,-97.68833333,36.6935,7.39,Grant,1.9,9,7.50395141,0.02,0.38,0
25903,-97.54233333,34.77933333,5,Garvin,2.4,7,0.20890057,0.05,0.56,3
25904,-97.90416667,35.40733333,6.21,Canadian,2,7,1.306551812,0.02,0.39,0
25905,-97.88066667,35.422,7,Canadian,2.2,9,1.077081703,0.03,0.53,1
25906,-97.05883333,36.16966667,7.96,Payne,1,3,2.29423898,0,0.14,0
25907,-98.92516667,36.20383333,6,Dewey,2.3,9,2.732909016,0.04,0.55,0
25908,-98.0745,36.76716667,7.88,Alfalfa,2.2,9,0.489226373,0.03,0.56,3
25910,-98.07366667,36.76583333,7.82,Alfalfa,2.3,9,0.65410567,0.04,0.63,2
25911,-98.32583333,36.63166667,5.57,Alfalfa,2.1,9,0.931212588,0.03,0.42,1
25912,-97.827,35.97466667,4.75,Kingfisher,2,9,0.810632625,0.02,0.35,0
25913,-97.49883333,36.27733333,6.95,Noble,1.9,7,1.992255223,0.02,0.37,0
25915,-98.32533333,36.63216667,4.12,Alfalfa,1.8,9,0.979584619,0.01,0.26,1
25916,-98.77033333,36.45716667,7.29,Major,1.1,9,3.25034862,0,0.15,0
25917,-97.43366667,36.87916667,6,Kay,2,7,2.97214819,0.02,0.39,0
25918,-97.16533333,36.22133333,7.6,Noble,1.2,7,5.581916993,0,0.17,0
25919,-97.65283333,35.0905,7,McClain,1.4,7,1.231296447,0.01,0.21,0
25920,-97.71866667,35.07916667,7.02,McClain,1.3,7,1.466936404,0,0.19,0
25921,-97.34233333,36.232,8.81,Noble,1.5,7,1.673076489,0.01,0.26,1
25922,-97.51116667,36.27816667,6.59,Noble,1.6,7,2.372362296,0.01,0.26,0
25923,-98.853,36.65666667,4.88,Woods,2.1,9,2.057566237,0.03,0.39,0
25924,-98.76516667,36.20783333,7.36,Dewey,1.4,9,2.198619564,0.01,0.22,0
25925,-98.3275,36.79433333,4.7,Alfalfa,2,9,1.294089429,0.02,0.34,0
25926,-97.55433333,34.77583333,7.12,Garvin,1.3,7,1.036743647,0,0.19,0
25927,-97.05883333,36.29466667,5.18,Payne,1,3,4.392442989,0,0.11,0
25928,-96.314,35.0965,4.26,Hughes,2.8,3,1.546149904,0.11,0.82,0
25929,-96.311,35.0995,4.02,Hughes,2.3,3,1.538215923,0.04,0.45,0
25930,-96.9585,36.3375,6.02,Pawnee,1.2,9,2.550290177,0,0.15,0
